;replica;k;time
[188;8;50000;489.999.999.999.964
[189;9;50000;489.000.000.000.033
[190;10;50000;506.999.999.999.971
[191;11;50000;497.000.000.000.025
[192;12;50000;488.999.999.999.987
[193;13;50000;488.999.999.999.987
[194;14;50000;497.000.000.000.025
[195;15;50000;492.000.000.000.007
[196;16;50000;491.999.999.999.962
[197;17;50000;497.000.000.000.025
[198;18;50000;492.000.000.000.007
[199;19;50000;492.000.000.000.007
[200;20;50000;498.999.999.999.978
[201;21;50000;536.000.000.000.013
[202;22;50000;492.999.999.999.984
[203;23;50000;490.999.999.999.985
[204;24;50000;484.000.000.000.015
[205;25;50000;488.999.999.999.987
[206;26;50000;491.000.000.000.031
[207;27;50000;486.999.999.999.989
[208;28;50000;519.000.000.000.005
[209;29;50000;496.000.000.000.004
[210;30;50000;556.999.999.999.971
[211;1;1,00E+05;129.400.000.000.001
[212;2;1,00E+05;114.100.000.000.003
[213;3;1,00E+05;124.699.999.999.998
[214;4;1,00E+05;10.73
[215;5;1,00E+05;11.27
[216;6;1,00E+05;120.900.000.000.001
[217;7;1,00E+05;105.899.999.999.997
[218;8;1,00E+05;101.300.000.000.001
[219;9;1,00E+05;103.099.999.999.999
[220;10;1,00E+05;11.5
[221;11;1,00E+05;11.25
[222;12;1,00E+05;116.700.000.000.001
[223;13;1,00E+05;107.800.000.000.002
[224;14;1,00E+05;105.699.999.999.997
[225;15;1,00E+05;108.099.999.999.999
[226;16;1,00E+05;103.100.000.000.004
[227;17;1,00E+05;104.699.999.999.998
[228;18;1,00E+05;103.299.999.999.999
[229;19;1,00E+05;10.48
[230;20;1,00E+05;10.46
[231;21;1,00E+05;10.48
[232;22;1,00E+05;104.699.999.999.998
[233;23;1,00E+05;102.800.000.000.002
[234;24;1,00E+05;106.100.000.000.001
[235;25;1,00E+05;108.299.999.999.999
[236;26;1,00E+05;109.200.000.000.001
[237;27;1,00E+05;117.199.999.999.998
[238;28;1,00E+05;109.500.000.000.003
[239;29;1,00E+05;10.02
[240;30;1,00E+05;112.199.999.999.998
[241;1;2,00E+05;241.100.000.000.001
[242;2;2,00E+05;231.500.000.000.001
[243;3;2,00E+05;253.799.999.999.997
[244;4;2,00E+05;217.800.000.000.002
[245;5;2,00E+05;223.299.999.999.999
[246;6;2,00E+05;225.900.000.000.001
[247;7;2,00E+05;215.899.999.999.997
[248;8;2,00E+05;221.100.000.000.001
[249;9;2,00E+05;218.200.000.000.002
[250;10;2,00E+05;226.999.999.999.998
[251;11;2,00E+05;205.300.000.000.002
[252;12;2,00E+05;213.899.999.999.999
[253;13;2,00E+05;231.700.000.000.001
[254;14;2,00E+05;213.299.999.999.999
[255;15;2,00E+05;219.200.000.000.001
[256;16;2,00E+05;210.999.999.999.999
[257;17;2,00E+05;217.600.000.000.002
[258;18;2,00E+05;229.899.999.999.998
[259;19;2,00E+05;22.46
[260;20;2,00E+05;216.799.999.999.998
[261;21;2,00E+05;214.200.000.000.001
[262;22;2,00E+05;222.000.000.000.003
[263;23;2,00E+05;220.499.999.999.997
[264;24;2,00E+05;251.199.999.999.999
[265;25;2,00E+05;230.800.000.000.004
[266;26;2,00E+05;269.499.999.999.998
[267;27;2,00E+05;278.500.000.000.004
[268;28;2,00E+05;267.199.999.999.993
[269;29;2,00E+05;276.999.999.999.998
[270;30;2,00E+05;259.700.000.000.003
